,channel_id,channel_title,creation_date,country,view_count,comment_count,subscriber_count,video_count,genres
60,UCcdwLMPsaU2ezNSJU1nFoBQ,Pinkfong! Kids' Songs & Stories,2011-12-14T04:54:24.000Z,US,10753653396,0,25800000,1403,"['Entertainment', 'Film', 'Music']"
61,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,2012-02-20T00:43:50.000Z,US,3813526531,0,25800000,712,"['Vehicle', 'Lifestyle (Sociology)', 'Action Game', 'Entertainment', 'Video Game Culture']"
62,UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,2007-02-24T14:28:56.000Z,IE,11779038804,0,23000000,4329,"['Entertainment', 'Action Game', 'Video Game Culture', 'Role-Playing Video Game']"
63,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,2014-08-05T05:21:03.000Z,BR,12738349843,0,26400000,2878,"['Music Of Latin America', 'Electronic Music', 'Hip Hop Music', 'Music']"
64,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,2012-12-17T03:20:38.000Z,,3151162696,0,23300000,1084,"['Pop Music', 'Entertainment', 'Music']"
65,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,2008-06-13T11:09:32.000Z,IN,15204763936,0,21100000,33742,"['Television Program', 'Entertainment', 'Film']"
66,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,2009-08-27T11:54:24.000Z,IN,6354052625,0,23200000,95073,"['Politics', 'Society']"
67,UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION,2015-06-23T01:27:37.000Z,US,4378201684,0,22600000,79,"['Pop Music', 'Hip Hop Music', 'Music']"
68,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,2008-11-08T13:30:04.000Z,US,14265494805,0,22300000,4516,"['Hip Hop Music', 'Music']"
69,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,2007-05-22T10:13:28.000Z,IN,10039056825,0,23500000,2702,"['Music Of Asia', 'Music']"
70,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,2009-05-12T05:27:52.000Z,,13895993915,0,26000000,84,"['Hip Hop Music', 'Rock Music', 'Music']"
71,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,2015-03-17T00:18:47.000Z,US,33702183780,0,22500000,1563,"['Lifestyle (Sociology)', 'Hobby', 'Entertainment', 'Film']"
72,UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,2013-02-06T23:21:04.000Z,US,492129978,0,22300000,24,"['Independent Music', 'Pop Music', 'Entertainment', 'Music']"
73,UC6-F5tO8uklgE9Zy8IvbdFw,SAB TV,2007-08-04T16:05:01.000Z,IN,23400203766,0,25300000,26404,"['Television Program', 'Entertainment', 'Film']"
74,UCoGDh1Xa3kUCpok24JN5DKA,enchufetv,2011-11-13T01:33:03.000Z,,7777551143,0,21800000,1241,"['Entertainment', 'Film', 'Music']"
75,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,2009-06-23T16:00:48.000Z,,3900437230,0,21700000,144491,"['Performing Arts', 'Entertainment', 'Society']"
76,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial,2012-11-05T04:27:20.000Z,TH,22122461169,0,26200000,38333,"['Television Program', 'Performing Arts', 'Entertainment', 'Music']"
77,UCbTVTephX30ZhQF5zwFppBg,rezendeevil,2012-02-12T23:58:25.000Z,BR,9148413742,0,25200000,8233,"['Lifestyle (Sociology)', 'Entertainment']"
78,UCAW-NpUFkMyCNrvRSSGIvDQ,Ninja,2011-11-11T06:17:51.000Z,US,1982179672,0,22400000,969,"['Action Game', 'Video Game Culture', 'Role-Playing Video Game']"
79,UCs8qka8tfhdc69wzXYdtZ3A,LosPolinesios,2012-12-16T21:39:34.000Z,,4266731546,0,20800000,496,"['Lifestyle (Sociology)', 'Entertainment']"
80,UCS94J1s6-qc8v7btCdS2pNg,Stacy Toys,2017-11-14T14:56:43.000Z,US,7388471573,0,21800000,240,"['Lifestyle (Sociology)', 'Hobby', 'Entertainment']"
81,UC1l7wYrva1qCH-wgqcHaaRg,David Guetta,2009-12-11T07:02:52.000Z,,11958005638,0,20900000,525,"['Pop Music', 'Electronic Music', 'Music']"
82,UCbTLwN10NoCU4WDzLf1JMOA,YRF,2006-06-07T23:07:50.000Z,IN,13353473226,0,25200000,3740,"['Entertainment', 'Film', 'Music Of Asia', 'Music']"
83,UC_gV70G_Y51LTa3qhu8KiEA,LUCCAS NETO - LUCCAS TOON,2014-07-31T04:07:52.000Z,BR,7879827935,0,27200000,751,"['Television Program', 'Entertainment', 'Film']"
84,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,2012-05-26T20:30:52.000Z,US,11995263825,0,24600000,4536,"['Entertainment', 'Action Game', 'Video Game Culture', 'Role-Playing Video Game']"
85,UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,2012-07-14T21:58:18.000Z,GB,15773480716,0,22300000,3268,"['Action Game', 'Video Game Culture', 'Role-Playing Video Game']"
86,UCY30JRSgfhYXA6i6xX1erWg,Smosh,2005-11-19T10:25:07.000Z,US,9062885920,0,25000000,1085,"['Television Program', 'Entertainment', 'Humour']"
87,UCX52tYZiEh_mHoFja3Veciw,Eros Now,2007-02-27T20:07:38.000Z,,12182576985,0,20900000,10093,"['Entertainment', 'Film', 'Music']"
88,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,2006-09-19T01:34:43.000Z,,11226266772,0,26000000,67,"['Pop Music', 'Music']"
89,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,2011-09-15T07:05:29.000Z,,11774725127,0,24900000,1082,"['Action Game', 'Video Game Culture', 'Role-Playing Video Game']"
90,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,2007-07-12T12:23:44.000Z,NL,15522310789,0,26200000,9215,"['Electronic Music', 'Music']"
91,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,2009-12-13T03:04:53.000Z,US,18376186831,0,25900000,136,"['Pop Music', 'Electronic Music', 'Music']"
92,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,2011-08-14T20:13:26.000Z,GB,6927490433,0,24000000,682,"['Electronic Music', 'Music']"
93,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,2016-03-24T19:55:58.000Z,PR,12750143707,0,26400000,70,"['Music Of Latin America', 'Music']"
94,UCVtFOytbRpEvzLjvqGG5gxQ,KSI,2009-07-25T01:11:42.000Z,GB,5038835144,0,20700000,1203,"['Sport', 'Lifestyle (Sociology)', 'Boxing', 'Entertainment', 'Music']"
95,UC2xskkQVFEpLcGFnNSLQY0A,RihannaVEVO,2009-05-12T05:29:11.000Z,US,14596703501,0,26000000,106,"['Soul Music', 'Pop Music', 'Rhythm And Blues', 'Electronic Music', 'Music']"
96,UCbrd1vu4_7qIE6IPV_dA-OA,GENIAL,2017-06-01T07:07:20.000Z,,3092260923,0,20600000,2689,"['Entertainment', 'Film', 'Lifestyle (Sociology)']"
97,UC4rasfm9J-X4jNl9SvXp8xA,Ultra Music,2006-10-24T20:03:16.000Z,,11457082557,0,20200000,3875,"['Electronic Music', 'Music']"
98,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,2016-11-16T03:28:16.000Z,MX,1359881375,0,20200000,102,"['Entertainment', 'Music', 'Lifestyle (Sociology)']"
99,UCT9zcQNlyht7fRlcjmflRSA,ImagineDragons,2009-08-03T09:09:31.000Z,,19726921,0,20200000,51,"['Rock Music', 'Music', 'Independent Music']"
100,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,2006-03-18T15:43:10.000Z,,15523556640,0,20400000,3922,"['Entertainment', 'Music', 'Pop Music']"
101,UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,2016-01-10T20:46:31.000Z,,3218459617,0,17700000,477,"['Entertainment', 'Lifestyle (Sociology)']"
102,UC8f7MkX4MFOOJ2SerXLInCA,one31,2013-01-10T12:27:39.000Z,TH,14885008186,0,19600000,76221,"['Entertainment', 'Society', 'Television Program']"
103,UCyQqzYXQBUWgBTn4pw_fFSQ,AuronPlay,2006-02-28T16:12:01.000Z,ES,2460209588,0,18900000,396,"['Entertainment', 'Lifestyle (Sociology)']"
104,UCcYrdFJF7hmPXRNaWdrko4w,ChrisBrownTV,2006-12-20T18:54:54.000Z,,33637686,0,17900000,18,"['Pop Music', 'Soul Music', 'Rhythm And Blues', 'Music']"
105,UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,2007-09-01T11:44:51.000Z,IN,9922390273,0,19800000,6878,"['Entertainment', 'Film']"
106,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,2006-03-09T20:06:26.000Z,AR,4041069436,0,18100000,1281,"['Entertainment', 'Film', 'Lifestyle (Sociology)']"
107,UCwD4x63A9KC7Si2RuSfg-SA,Lucas and Marcus,2011-01-19T22:44:47.000Z,US,4453848393,0,17900000,519,"['Entertainment', 'Lifestyle (Sociology)', 'Vehicle']"
108,UCPHXtOVmjvbP9OJihsd7gCg,CanalCanalha,2011-04-08T00:19:27.000Z,,1392889788,0,19000000,223,"['Entertainment', 'Sport', 'Music', 'Association Football']"
111,UCtW7qWjpCZ8zps-Cf2NF26w,Gaane Sune Ansune,2015-08-24T08:17:50.000Z,IN,7698175222,0,18300000,2249,"['Entertainment', 'Film', 'Music Of Asia', 'Music']"
112,UCaKLg1ELiX0zTJ6Je3c5esA,Atta Halilintar,2014-01-26T16:19:24.000Z,ID,1818928480,0,19800000,646,"['Entertainment', 'Lifestyle (Sociology)', 'Music', 'Vehicle']"
113,UC3jOd7GUMhpgJRBhiLzuLsg,Nicki Minaj,2013-08-28T15:19:24.000Z,US,91881891,0,19900000,20,"['Hip Hop Music', 'Entertainment', 'Lifestyle (Sociology)', 'Music', 'Fashion']"
114,UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,2008-05-09T02:49:21.000Z,,9245178170,0,19700000,474,"['Hip Hop Music', 'Music']"
115,UCByOQJjav0CUDwxCk-jVNRQ,Drake,2009-06-05T23:20:21.000Z,,333416505,0,19200000,48,"['Hip Hop Music', 'Music']"
117,UC7TTtOQKMXTWWMtWQMIgVSA,Collins Key,2011-08-09T18:02:53.000Z,US,4096593817,0,19800000,241,"['Food', 'Entertainment', 'Lifestyle (Sociology)', 'Hobby']"
118,UC_TVqp_SyG6j5hG-xVRy95A,Skrillex,2010-04-06T19:44:30.000Z,,5237076896,0,19000000,168,"['Electronic Music', 'Music']"
119,UCBAb_DK4GYZqZR9MFA7y2Xg,Galinha Pintadinha,2006-08-30T19:30:30.000Z,BR,13412745114,0,19300000,50,['Music']
120,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,2011-09-26T11:44:33.000Z,IN,9847435517,0,19500000,4437,"['Music Of Asia', 'Music']"
121,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,2006-09-08T08:50:54.000Z,CA,16586572830,0,18900000,477,"['Entertainment', 'Film', 'Music']"
123,UCLp8RBhQHu9wSsq62j_Md6A,LuisFonsiVEVO,2009-05-12T05:28:36.000Z,US,11532041553,0,18000000,68,"['Pop Music', 'Music', 'Music Of Latin America']"
124,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,2013-09-19T19:31:16.000Z,,6269826954,0,19700000,836,"['Hip Hop Music', 'Entertainment', 'Pop Music', 'Music']"
125,UCmL1WlDI8UkXDXCXcBQN9CA,Ultra Bollywood,2009-10-21T12:28:20.000Z,,10714116591,0,19400000,10395,"['Entertainment', 'Film', 'Music Of Asia', 'Music']"
126,UCxSz6JVYmzVhtkraHWZC7HQ,Liza Koshy,2013-09-02T22:55:05.000Z,US,2301078981,0,17700000,166,"['Entertainment', 'Film', 'Lifestyle (Sociology)']"
127,UC2pmfLm7iq6Ov1UwYrWYkZA,Vevo,2006-04-14T17:07:29.000Z,,560628465,0,19000000,1558,"['Hip Hop Music', 'Music']"
128,UC48h7Dst_hX82HxOf3xJw_w,Ch3Thailand,2014-05-29T07:24:43.000Z,TH,14402190534,0,19900000,66012,"['Entertainment', 'Television Program']"
129,UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,2012-01-10T23:16:13.000Z,,12393510406,0,19600000,243,"['Pop Music', 'Music', 'Music Of Latin America']"
130,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,2014-06-06T15:24:36.000Z,IN,8862583867,0,18000000,288,"['Entertainment', 'Film']"
132,UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,2009-09-02T23:38:38.000Z,,16859629103,0,19100000,164,"['Pop Music', 'Music', 'Music Of Latin America']"
133,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,2011-08-10T21:27:29.000Z,,16055213500,0,19600000,6454,"['Food', 'Entertainment', 'Television Program', 'Lifestyle (Sociology)', 'Performing Arts']"
136,UC9gFih9rw0zNCK3ZtoKQQyA,JennaMarbles,2010-02-16T17:38:20.000Z,,3379815697,0,20000000,475,"['Entertainment', 'Pet', 'Lifestyle (Sociology)']"
137,UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,2014-06-09T02:50:42.000Z,PR,5725562126,0,20000000,33,"['Music', 'Music Of Latin America']"
139,UCIPA6iWNaoetaa1T46RkzXw,AuthenticGames,2011-10-07T01:50:49.000Z,BR,7321075366,0,17800000,3796,"['Role-Playing Video Game', 'Video Game Culture']"
140,UC0v-tlzsn0QZwJnkiaUSJVQ,FBE,2007-06-04T09:55:54.000Z,US,8477637335,0,19700000,2125,"['Entertainment', 'Television Program']"
141,UCq3Ci-h945sbEYXpVlw7rJg,The Chainsmokers,2012-09-22T20:02:38.000Z,US,797562272,0,19800000,192,"['Pop Music', 'Electronic Music', 'Music']"
143,UCw8ZhLPdQ0u_Y-TLKd61hGA,1MILLION Dance Studio,2015-02-06T09:32:21.000Z,KR,4390571400,0,18400000,1737,"['Music', 'Entertainment', 'Pop Music', 'Lifestyle (Sociology)', 'Hobby', 'Performing Arts', 'Hip Hop Music', 'Soul Music', 'Rhythm And Blues']"
145,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,2010-10-21T23:38:49.000Z,,13088521518,0,18600000,110,"['Pop Music', 'Music']"
148,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,2015-08-29T03:28:33.000Z,US,4759873133,0,20000000,654,['Entertainment']
151,UCUY6t_N9MyEWu6I0ZXkbtKA,Las Ratitas,2015-10-18T10:56:30.000Z,ES,5560764256,0,17500000,153,"['Lifestyle (Sociology)', 'Hobby']"
152,UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3,2016-10-22T03:37:32.000Z,IN,4402668420,0,16300000,264,"['Entertainment', 'Film', 'Music Of Asia', 'Music']"
153,UCYVinkwSX7szARULgYpvhLw,Ali-A,2006-09-13T17:12:04.000Z,GB,4785452302,0,16500000,3306,"['Video Game Culture', 'Role-Playing Video Game', 'Action Game']"
154,UCGRtuAmEObNSmlOLDWzZfVg,Caeli,2010-09-22T15:51:25.000Z,,1464309338,0,16100000,518,"['Entertainment', 'Lifestyle (Sociology)']"
155,UCN9HPn2fq-NL8M5_kp4RWZQ,Sia,2007-11-19T18:43:20.000Z,,224205855,0,16100000,62,"['Music', 'Pop Music']"
156,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,2006-09-20T06:18:26.000Z,US,8731043246,0,15500000,4408,"['Entertainment', 'Television Program', 'Music']"
157,UCzoUWqjCbcfWFdOMvoep8FA,Juan De Dios Pantoja,2014-06-09T18:02:23.000Z,MX,1352721220,0,17400000,181,"['Entertainment', 'Music']"
158,UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,2011-12-15T00:40:53.000Z,US,1399240517,0,15900000,30,"['Hip Hop Music', 'Music', 'Pop Music']"
159,UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth,2009-09-09T21:32:32.000Z,US,6079727158,0,15800000,85,"['Music', 'Pop Music']"
160,UCucot-Zp428OwkyRm2I7v2Q,James Charles,2015-12-01T22:04:43.000Z,US,1777568159,0,16300000,240,"['Entertainment', 'Lifestyle (Sociology)']"
161,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,2013-01-20T06:26:02.000Z,US,4401696632,0,17300000,2148,"['Entertainment', 'Lifestyle (Sociology)', 'Food']"
162,UCzVIrPfZBE-XkBISBybMBLA,Werevertumorro,2007-02-28T02:25:20.000Z,,2669325674,0,16500000,1045,"['Entertainment', 'Film', 'Music', 'Music Of Latin America', 'Humour']"
163,UC6pjHMC4QXMi4llCCjtDXWg,Lil pump,2015-10-15T22:04:28.000Z,,3272316879,0,16300000,42,"['Hip Hop Music', 'Music']"
164,UCG9gfnA5UDoLvz-tC9B-HKw,GMM GRAMMY OFFICIAL,2010-11-08T03:39:50.000Z,TH,16658452641,0,17100000,7106,"['Entertainment', 'Music']"
165,UC0ebPa2q1rwZVN7dYemunUQ,Erlania e Valentina Pontes,2014-04-14T03:10:28.000Z,BR,4552177113,0,16200000,726,"['Entertainment', 'Lifestyle (Sociology)', 'Hobby']"
166,UCy7whoHQXzhYxp9AQmrPFVw,Totoykids,2014-12-02T20:35:42.000Z,BR,7030980517,0,15600000,770,"['Entertainment', 'Film', 'Lifestyle (Sociology)', 'Hobby']"
167,UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO,2010-05-20T13:09:24.000Z,,10085022663,0,16400000,998,"['Music', 'Pop Music']"
168,UCpGdL9Sn3Q5YWUH2DVUW1Ug,PopularMMOs,2012-04-17T17:18:29.000Z,,13451573780,0,16900000,4533,"['Video Game Culture', 'Role-Playing Video Game', 'Action Game']"
169,UCEWHPFNilsT0IfQfutVzsag,Porta dos Fundos,2012-03-12T04:30:27.000Z,BR,5345585034,0,16200000,1249,"['Entertainment', 'Film', 'Humour']"
170,UC57XAjJ04TY8gNxOWf-Sy0Q,5-Minute Crafts KIDS,2017-10-30T13:03:19.000Z,US,3250461878,0,15800000,2207,"['Lifestyle (Sociology)', 'Hobby', 'Food']"
171,UC4LHNX8d8RqnDX0OezgmCTg,TheWillyrex,2011-01-26T13:28:11.000Z,ES,5740921953,0,16000000,5629,"['Video Game Culture', 'Role-Playing Video Game', 'Action Game']"
172,UCkvK_5omS-42Ovgah8KRKtg,jeffreestar,2006-02-14T22:18:44.000Z,US,1975574984,0,16500000,358,"['Entertainment', 'Lifestyle (Sociology)']"
173,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,2016-03-17T20:35:54.000Z,US,11008662065,0,16600000,340,"['Lifestyle (Sociology)', 'Hobby']"
174,UCEKWXRsfUHkan-D_ljU8Asw,Rajshri,2006-03-24T03:45:24.000Z,IN,9024567018,0,17100000,5614,"['Entertainment', 'Film', 'Music Of Asia', 'Music']"
175,UC2etEuPIfohP4P53wM0KImA,5-Minute Crafts GIRLY,2018-01-18T08:58:56.000Z,US,2984553137,0,16800000,1978,"['Lifestyle (Sociology)', 'Hobby', 'Food']"
176,UC4tS4Q_Cno5JVcIUXxQOOpA,Ricis Official,2016-01-15T15:57:39.000Z,ID,2145326650,0,17500000,731,"['Entertainment', 'Lifestyle (Sociology)']"
177,UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,2016-01-22T23:05:31.000Z,US,3577781101,0,16600000,3471,"['Lifestyle (Sociology)', 'Food']"
178,UCmv1CLT6ZcFdTJMHxaR9XeA,PTXofficial,2011-09-10T17:09:59.000Z,,4139301204,0,17300000,205,"['Entertainment', 'Music', 'Christian Music', 'Performing Arts', 'Pop Music']"
179,UCWwqHwqLSrdWMgp5DZG5Dzg,Troom Troom,2015-09-12T13:49:04.000Z,US,5348145034,0,15900000,1069,"['Entertainment', 'Lifestyle (Sociology)', 'Hobby', 'Food']"
